Input Sample,B cells,CD8 T cells,CD4 T cells,NK cells,Monocytes,Neutrophils,P-value,Pearson Correlation,RMSE
17-002,0.04353384240439211,0.3879551108523858,0,0.07892644039909283,0.4895846063441292,0,0,0.5748247381884158,0.8235487460394987
17-006,0.022026503477760286,0.6359627528766579,0,0.05929603820997658,0.28271470543560523,0,0,0.30516480702263526,0.9637756977515306
17-019,0.09804496466608938,0.1653476819673276,0.09890820140809961,0.33507162643507793,0.30262752552340555,0,0,0.5214277460870627,0.8526561552987715
17-023,0.038212464251711355,0.14976218653352735,0.08910820418633629,0.08043588133901493,0.64248126368941,0,0,0.6023988381460873,0.8405805573435079
17-026,0.06077751611934427,0.3930215610858009,0,0.026412017957839033,0.5197889048370159,0,0,0.45856266014389435,0.9224364451323087
17-027,0.07361657367326012,0.484056901717406,0,0.06422667314954436,0.37343974450558426,0.004660106954205314,0,0.3820141881171316,0.9370011554655184
17-030,0.03679501352298307,0.3300237042438474,0,0.12139894755440017,0.5117823346787694,0,0,0.5919057951369563,0.8132420233538774
17-034,0.05651256938610953,0.038489793971834364,0.22615972550479374,0.13473744777615412,0.5252407083931395,0.018859754967968764,0,0.4937481706188948,0.900624004266731
17-040,0.0814955855649488,0.35761711736232027,0,0.1087343687974935,0.4386253881512081,0.013527540124029323,0,0.5048106718686819,0.870527004254181
17-041,0.09562108014814208,0.3066266406443927,0.2266540851002928,0.13438841043119407,0.23190875700525598,0.004801026670722328,0,0.339038573701681,0.9438581016957399
17-042,0.017405837059526516,0.15793374187053433,0,0.16348827897621615,0.6360815766940476,0.025090565399675337,0,0.581057702513729,0.8664037597297604
17-043,0.059375505051327195,0.3962512140238187,0.12156296753865681,0.09844320386756493,0.32032170269024096,0.004045406828391425,0,0.4366369910840219,0.9006136369714651
17-045,0.12265532828101197,0.4076514189642582,0.1577299995801415,0.0626391444491946,0.24237409900849413,0.006950009716899576,0,0.3826198405709885,0.9244790981127562
17-047,0.07566174053956272,0.4677713375988623,0.14716868105650832,0.13514592452980745,0.17425231627525914,0,0,0.3261403622680541,0.9478339244387486
17-054,0.07590335020469242,0.2887640337164761,0.18431011138982067,0.02001955894405433,0.43100294574495657,0,0,0.5065460769048453,0.8668509758662867
17-055,0.05719610849349795,0.1959483422548359,0.07364068504311994,0.042636088198043806,0.6305787760105025,0,0,0.61420505623812,0.823834075085793
17-057,0.055662150474837656,0.6315189338623677,0.03934593794476457,0.06628586157981448,0.19971433093991983,0.007472785198295773,0,0.27636490364391525,0.9684907004718022
17-058,0.06918907346661526,0.451653790282207,0.24136177261231495,0.016270623436969476,0.20729898685614032,0.014225753345753022,0,0.2518123364616303,0.9786344159115209
17-060,0.05090632066168482,0.5443072461088773,0,0.08498962426497352,0.3142237785381417,0.005573030426322708,0,0.4207776296214178,0.9088648529276496
17-061,0.06924808539939001,0.2752418113414492,0.18674340640571974,0.17202802945563672,0.2781104919349151,0.018628175462889245,0,0.45144635065516625,0.8918716478457009
